id;generation;life;strength;speed;cDamage;rate
2957;0;15;974;356;904;0
951;1;15;966;348;904;0
2001;2;15;958;354;905;0
3632;3;15;959;347;913;0
423;4;15;961;346;911;0
3694;5;15;954;337;918;0
733;6;15;956;338;927;0
88;7;15;952;347;929;0
3761;8;15;952;353;928;0
185;9;15;945;354;921;0
1506;10;15;945;363;925;0
3685;11;15;953;366;922;0
1202;12;15;954;365;918;0
1261;13;15;953;365;909;0
1261;14;15;956;356;909;0
738;15;15;955;359;914;0
2038;16;15;963;365;911;0
2442;17;15;967;371;914;0
1270;18;15;967;372;906;0
3297;19;15;974;373;912;0
2653;20;15;983;375;918;0
2043;21;15;990;371;923;0
728;22;15;999;378;929;0
307;23;15;1000;376;928;0
984;24;15;1000;379;919;0
2856;25;15;994;376;916;0
539;26;15;1000;373;910;0
3585;27;15;1000;370;916;0
3335;28;15;999;374;911;0
3974;29;15;1000;369;919;0
613;30;15;993;369;916;0
2284;31;15;995;374;907;0
1635;32;15;999;375;914;0
1053;33;15;993;377;922;0
3110;34;15;991;378;931;0
2693;35;15;992;380;936;0
532;36;15;994;389;941;0
3576;37;15;997;391;936;0
1155;38;15;997;388;940;0
1573;39;15;994;383;946;0
1640;40;15;999;389;940;0
1175;41;15;1000;389;935;0
1810;42;15;1000;387;928;0
2786;43;15;994;393;927;0
743;44;15;986;402;932;0
256;45;15;994;406;937;0
729;46;15;1000;414;941;0
3920;47;15;1000;408;946;0
861;48;15;997;400;953;0
2855;49;15;996;408;962;0
3087;50;15;996;407;963;0
1121;51;15;1000;412;955;0
486;52;15;1000;408;946;0
2839;53;15;1000;412;955;0
3492;54;15;992;410;956;0
2266;55;15;985;419;959;0
2105;56;15;989;428;963;0
3911;57;15;985;419;971;0
2115;58;15;980;423;963;0
129;59;15;985;429;965;0
2134;60;15;992;431;964;0
3705;61;15;989;423;972;0
3613;62;15;990;414;975;0
2104;63;15;994;405;969;0
3901;64;15;1000;414;972;0
248;65;15;1000;420;970;0
1412;66;15;1000;422;979;0
515;67;15;994;430;985;0
887;68;15;1000;433;990;0
1443;69;15;997;424;985;0
1730;70;15;997;424;988;0
524;71;15;998;417;986;0
3283;72;15;991;425;993;0
729;73;15;991;430;1000;0
2554;74;15;993;426;1000;0
425;75;15;985;425;1000;0
2263;76;15;993;428;995;0
2028;77;15;1000;431;1000;0
1115;78;15;999;435;1000;0
405;79;15;997;428;992;0
1019;80;15;1000;425;998;0
1099;81;15;997;426;1000;0
3676;82;15;997;427;994;0
541;83;15;994;432;996;0
400;84;15;992;439;1000;0
1539;85;15;984;433;996;0
4008;86;15;984;424;996;0
1693;87;15;986;424;1000;0
2489;88;15;983;419;998;0
3489;89;15;992;413;1000;0
3373;90;15;997;412;1000;0
2194;91;15;999;411;993;0
1358;92;15;995;419;997;0
2814;93;15;995;419;991;0
3563;94;15;990;426;986;0
3108;95;15;985;431;979;0
3386;96;15;994;432;977;0
1954;97;15;987;431;968;0
338;98;15;990;422;969;0
411;99;15;999;417;965;0
1113;100;15;1000;422;967;0
1394;101;15;1000;431;970;0
2120;102;15;1000;431;976;0
3855;103;15;997;422;983;0
1506;104;15;1000;424;983;0
2613;105;15;994;418;984;0
3054;106;15;986;413;982;0
1419;107;15;990;418;979;0
1523;108;15;990;425;979;0
